"MacroTrends Data Download"
"Silver Prices - 100 Year Historical Chart"
"Note: Real datasets are adjusted for inflation using the headline Consumer Price Index (CPI) with the current month as the base."

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,real,nominal
1950-09-01,8.86,0.740
1950-10-01,8.79,0.740
1950-11-01,8.76,0.740
1950-12-01,8.65,0.740
1951-01-01,10.24,0.890
1951-02-01,10.12,0.890
1951-03-01,10.08,0.890
1951-04-01,10.08,0.890
1951-05-01,10.04,0.890
1951-06-01,10.04,0.890
1951-07-01,10.04,0.890
1951-08-01,10.04,0.890
1951-09-01,9.97,0.890
1951-10-01,9.93,0.890
1951-11-01,9.85,0.890
1951-12-01,9.82,0.890
1952-01-01,9.38,0.850
1952-02-01,9.45,0.850
1952-03-01,9.45,0.850
1952-04-01,9.41,0.850
1952-05-01,9.41,0.850
1952-06-01,9.38,0.850
1952-07-01,9.30,0.850
1952-08-01,9.30,0.850
1952-09-01,9.30,0.850
1952-10-01,9.30,0.850
1952-11-01,9.30,0.850
1952-12-01,9.30,0.850
1953-01-01,9.34,0.850
1953-02-01,9.38,0.850
1953-03-01,9.34,0.850
1953-04-01,9.34,0.850
1953-05-01,9.30,0.850
1953-06-01,9.27,0.850
1953-07-01,9.27,0.850
1953-08-01,9.24,0.850
1953-09-01,9.24,0.850
1953-10-01,9.20,0.850
1953-11-01,9.24,0.850
1953-12-01,9.24,0.850
1954-01-01,9.24,0.850
1954-02-01,9.24,0.850
1954-03-01,9.24,0.850
1954-04-01,9.27,0.850
1954-05-01,9.24,0.850
1954-06-01,9.24,0.850
1954-07-01,9.24,0.850
1954-08-01,9.24,0.850
1954-09-01,9.27,0.850
1954-10-01,9.27,0.850
1954-11-01,9.27,0.850
1954-12-01,9.30,0.850
1955-01-01,9.74,0.890
1955-02-01,9.74,0.890
1955-03-01,9.74,0.890
1955-04-01,9.74,0.890
1955-05-01,9.74,0.890
1955-06-01,9.74,0.890
1955-07-01,9.71,0.890
1955-08-01,9.71,0.890
1955-09-01,9.67,0.890
1955-10-01,9.67,0.890
1955-11-01,9.67,0.890
1955-12-01,9.71,0.890
1956-01-01,10.03,0.920
1956-02-01,10.03,0.920
1956-03-01,10.03,0.920
1956-04-01,10.00,0.920
1956-05-01,9.96,0.920
1956-06-01,9.89,0.920
1956-07-01,9.81,0.920
1956-08-01,9.85,0.920
1956-09-01,9.81,0.920
1956-10-01,9.78,0.920
1956-11-01,9.78,0.920
1956-12-01,9.74,0.920
1957-01-01,9.74,0.920
1957-02-01,9.71,0.920
1957-03-01,9.67,0.920
1957-04-01,9.64,0.920
1957-05-01,9.60,0.920
1957-06-01,9.57,0.920
1957-07-01,9.50,0.920
1957-08-01,9.50,0.920
1957-09-01,9.50,0.920
1957-10-01,9.50,0.920
1957-11-01,9.47,0.920
1957-12-01,9.47,0.920
1958-01-01,9.10,0.890
1958-02-01,9.10,0.890
1958-03-01,9.03,0.890
1958-04-01,9.00,0.890
1958-05-01,9.00,0.890
1958-06-01,9.00,0.890
1958-07-01,8.97,0.890
1958-08-01,9.00,0.890
1958-09-01,9.00,0.890
1958-10-01,9.00,0.890
1958-11-01,8.97,0.890
1958-12-01,9.00,0.890
1959-01-01,9.27,0.920
1959-02-01,9.30,0.920
1959-03-01,9.30,0.920
1959-04-01,9.27,0.920
1959-05-01,9.27,0.920
1959-06-01,9.24,0.920
1959-07-01,9.21,0.920
1959-08-01,9.21,0.920
1959-09-01,9.18,0.920
1959-10-01,9.15,0.920
1959-11-01,9.15,0.920
1959-12-01,9.15,0.920
1960-01-01,9.18,0.920
1960-02-01,9.15,0.920
1960-03-01,9.15,0.920
1960-04-01,9.12,0.920
1960-05-01,9.12,0.920
1960-06-01,9.09,0.920
1960-07-01,9.09,0.920
1960-08-01,9.09,0.920
1960-09-01,9.09,0.920
1960-10-01,9.02,0.920
1960-11-01,9.02,0.920
1960-12-01,9.02,0.920
1961-01-01,9.12,0.930
1961-02-01,9.12,0.930
1961-03-01,9.12,0.930
1961-04-01,9.12,0.930
1961-05-01,9.12,0.930
1961-06-01,9.12,0.930
1961-07-01,9.06,0.930
1961-08-01,9.09,0.930
1961-09-01,9.06,0.930
1961-10-01,9.06,0.930
1961-11-01,9.06,0.930
1961-12-01,9.06,0.930
1962-01-01,10.62,1.090
1962-02-01,10.58,1.090
1962-03-01,10.58,1.090
1962-04-01,10.55,1.090
